wnver::2.0
1740n 89190604 ROOT
60780n 241217
60961n 13461
61200n 174699
61465n 2434
61674n 0
61775n 15922
61918n 1073
62029n 25106
62171n 10419
62446n 1636
62626n 3396
62789n 1341
63073n 15
63175n 1650
63321n 3438
63480n 0
63593n 441
63864n 11
64024n 108
64105n 0
64235n 12
64338n 47
64497n 0
64635n 63
64783n 1430
64882n 22
65061n 1993
65191n 0
65349n 59015
65894n 4
66048n 0
66212n 5963
66405n 6858
66617n 2911
66835n 169
66952n 428
67176n 109
67321n 243
67608n 0
67796n 936
67911n 2458
68175n 9
68407n 709
68507n 14981
68673n 12559
69119n 0
69270n 1161
69417n 6
69589n 2207
69711n 148
69871n 123
69995n 2533
70122n 62
70192n 26
70362n 5871
70683n 10249
70950n 11
71120n 59394
71557n 0
71682n 2358
71900n 177
72076n 3
72183n 138
72450n 0
72647n 19889
72841n 681
73027n 5170
73232n 3
73381n 2
73537n 33
73725n 3
73871n 103
74103n 0
74248n 0
74372n 20579
74597n 44794
74803n 107
75024n 0
75201n 14241
75465n 8419
75710n 5122
75852n 0
75976n 0
76118n 2742
76329n 2406
76445n 5493
76835n 32205
77023n 26725
77160n 2997
77304n 300
77550n 7747
77713n 3716
77984n 51
78237n 90
78383n 2
78561n 3352
78774n 85
79020n 248
79171n 1447
79483n 85
79640n 262
79890n 19
79997n 672
80152n 4868
80454n 823
80599n 183
80804n 28806
81044n 18453
81230n 546
81522n 57
81735n 0
81849n 19623
82093n 10152
82395n 1132
82601n 38
82718n 20391
83024n 39
83258n 202
83443n 38
83620n 4376
83742n 5897
83959n 0
84128n 11978
84362n 1663
84583n 896
84753n 555
84852n 274
85019n 4
85128n 4
85242n 41
85326n 1
85561n 31
85715n 1489
85994n 19
86178n 19
86344n 109
86465n 0
86692n 184
86821n 19500
87212n 17
87339n 5319
87564n 765
87824n 376
88112n 2588
88278n 5
88445n 512
88653n 368
88826n 26693
89197n 0
89295n 601
89535n 330
89667n 330
89837n 833
90044n 0
90175n 361
90293n 228
90446n 211
90568n 98
90672n 177
90828n 23115
91229n 43
91357n 5434
91561n 62766
91740n 0
91856n 0
91978n 10
92150n 229
92299n 222
92510n 313
92662n 7237
92896n 72
92967n 22877
93151n 0
93257n 7137
93603n 78
93717n 1108
93905n 12983
94124n 217
94284n 0
94422n 334
94523n 1649
94753n 3
94876n 91
95088n 10
95171n 606
95493n 44
95641n 1
95854n 13997
96005n 771
96133n 9658
96304n 9653
96451n 2
96548n 13395
96802n 9
96952n 1776
97112n 4227
97235n 55552
97670n 843
97858n 261
97965n 535
98173n 4005
98318n 93
98514n 9891
98798n 2985
98966n 32458
99398n 74
99560n 1138
99688n 54
99809n 0
99951n 29
100054n 8743
100205n 1
100338n 0
100529n 3481
100714n 117
100814n 6003
101060n 0
101178n 0
101331n 8
101478n 61
101594n 44
101740n 5
101927n 6994
102112n 0
102233n 2
102398n 2428
102756n 0
102863n 24
103054n 1
103143n 0
103273n 6
103531n 0
103667n 1623
103812n 739
103937n 1
104116n 0
104239n 0
